column,TP,FP,FN,precision,recall,f1,method
CSV Column,3,0,0,1.0,1.0,1.0,gemini_2.5_0.60_all
Entity Class,3,0,0,1.0,1.0,1.0,gemini_2.5_0.60_all
Ontology Property,3,0,0,1.0,1.0,1.0,gemini_2.5_0.60_all
Subject Generation,3,0,0,1.0,1.0,1.0,gemini_2.5_0.60_all
CSV Column,8,0,0,1.0,1.0,1.0,o3_0.60_all
Entity Class,6,0,2,1.0,0.75,0.8571428571428571,o3_0.60_all
Ontology Property,3,0,5,1.0,0.375,0.5454545454545454,o3_0.60_all
Subject Generation,5,0,3,1.0,0.625,0.7692307692307693,o3_0.60_all
CSV Column,3,0,0,1.0,1.0,1.0,deepseek_0.60_all
Entity Class,3,0,0,1.0,1.0,1.0,deepseek_0.60_all
Ontology Property,3,0,0,1.0,1.0,1.0,deepseek_0.60_all
Subject Generation,1,0,2,1.0,0.3333333333333333,0.5,deepseek_0.60_all
CSV Column,3,0,0,1.0,1.0,1.0,gpt4o_0.60_all
Entity Class,3,0,0,1.0,1.0,1.0,gpt4o_0.60_all
Ontology Property,3,0,0,1.0,1.0,1.0,gpt4o_0.60_all
Subject Generation,3,0,0,1.0,1.0,1.0,gpt4o_0.60_all
CSV Column,3,0,0,1.0,1.0,1.0,llama_hf_0.60_all
Entity Class,3,0,0,1.0,1.0,1.0,llama_hf_0.60_all
Ontology Property,3,0,0,1.0,1.0,1.0,llama_hf_0.60_all
Subject Generation,3,0,0,1.0,1.0,1.0,llama_hf_0.60_all
CSV Column,3,0,0,1.0,1.0,1.0,mixtral_hf_0.60_all
Entity Class,3,0,0,1.0,1.0,1.0,mixtral_hf_0.60_all
Ontology Property,3,0,0,1.0,1.0,1.0,mixtral_hf_0.60_all
Subject Generation,2,0,1,1.0,0.6666666666666666,0.8,mixtral_hf_0.60_all
