column,TP,FP,FN,precision,recall,f1,method
CSV Column,9,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Datatype,9,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Entity Class,9,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Ontology Property,9,0,0,1.0,1.0,1.0,gemini_2.5_0.70_all
Subject Generation,3,0,6,1.0,0.3333333333333333,0.5,gemini_2.5_0.70_all
CSV Column,9,0,3,1.0,0.75,0.8571428571428571,o3_0.70_all
Datatype,8,0,4,1.0,0.6666666666666666,0.8,o3_0.70_all
Entity Class,12,0,0,1.0,1.0,1.0,o3_0.70_all
Ontology Property,12,0,0,1.0,1.0,1.0,o3_0.70_all
Subject Generation,12,0,0,1.0,1.0,1.0,o3_0.70_all
CSV Column,9,0,0,1.0,1.0,1.0,deepseek_0.70_all
Datatype,9,0,0,1.0,1.0,1.0,deepseek_0.70_all
Entity Class,9,0,0,1.0,1.0,1.0,deepseek_0.70_all
Ontology Property,9,0,0,1.0,1.0,1.0,deepseek_0.70_all
Subject Generation,0,0,9,0.0,0.0,0.0,deepseek_0.70_all
CSV Column,9,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Datatype,9,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Entity Class,9,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Ontology Property,9,0,0,1.0,1.0,1.0,gpt4o_0.70_all
Subject Generation,6,0,3,1.0,0.6666666666666666,0.8,gpt4o_0.70_all
CSV Column,9,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Datatype,9,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Entity Class,9,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Ontology Property,9,0,0,1.0,1.0,1.0,llama_hf_0.70_all
Subject Generation,9,0,0,1.0,1.0,1.0,llama_hf_0.70_all
CSV Column,9,0,0,1.0,1.0,1.0,mixtral_hf_0.70_all
Datatype,9,0,0,1.0,1.0,1.0,mixtral_hf_0.70_all
Entity Class,9,0,0,1.0,1.0,1.0,mixtral_hf_0.70_all
Ontology Property,9,0,0,1.0,1.0,1.0,mixtral_hf_0.70_all
Subject Generation,0,0,9,0.0,0.0,0.0,mixtral_hf_0.70_all
