column,TP,FP,FN,precision,recall,f1,method
CSV Column,9,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Datatype,9,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Language Annotations,6,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
Subject Generation,9,0,0,1.0,1.0,1.0,gemini_2.5_0.80_all
CSV Column,8,0,6,1.0,0.5714285714285714,0.7272727272727273,o3_0.80_all
Datatype,9,0,5,1.0,0.6428571428571429,0.782608695652174,o3_0.80_all
Entity Class,14,0,0,1.0,1.0,1.0,o3_0.80_all
Language Annotations,6,0,1,1.0,0.8571428571428571,0.923076923076923,o3_0.80_all
Ontology Property,7,0,7,1.0,0.5,0.6666666666666666,o3_0.80_all
Subject Generation,14,0,0,1.0,1.0,1.0,o3_0.80_all
CSV Column,7,0,3,1.0,0.7,0.8235294117647058,deepseek_0.80_all
Datatype,9,0,1,1.0,0.9,0.9473684210526316,deepseek_0.80_all
Entity Class,10,0,0,1.0,1.0,1.0,deepseek_0.80_all
Language Annotations,4,0,2,1.0,0.6666666666666666,0.8,deepseek_0.80_all
Ontology Property,9,0,1,1.0,0.9,0.9473684210526316,deepseek_0.80_all
Subject Generation,10,0,0,1.0,1.0,1.0,deepseek_0.80_all
CSV Column,9,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Datatype,9,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Language Annotations,6,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,gpt4o_0.80_all
Subject Generation,9,0,0,1.0,1.0,1.0,gpt4o_0.80_all
CSV Column,9,0,3,1.0,0.75,0.8571428571428571,llama_hf_0.80_all
Datatype,9,0,3,1.0,0.75,0.8571428571428571,llama_hf_0.80_all
Entity Class,12,0,0,1.0,1.0,1.0,llama_hf_0.80_all
Language Annotations,0,0,6,0.0,0.0,0.0,llama_hf_0.80_all
Ontology Property,9,0,3,1.0,0.75,0.8571428571428571,llama_hf_0.80_all
Subject Generation,12,0,0,1.0,1.0,1.0,llama_hf_0.80_all
CSV Column,9,0,0,1.0,1.0,1.0,mixtral_hf_0.80_all
Datatype,5,0,4,1.0,0.5555555555555556,0.7142857142857143,mixtral_hf_0.80_all
Entity Class,9,0,0,1.0,1.0,1.0,mixtral_hf_0.80_all
Language Annotations,0,0,6,0.0,0.0,0.0,mixtral_hf_0.80_all
Ontology Property,9,0,0,1.0,1.0,1.0,mixtral_hf_0.80_all
Subject Generation,9,0,0,1.0,1.0,1.0,mixtral_hf_0.80_all
