column,TP,FP,FN,precision,recall,f1,method
CSV Column,0,0,13,0.0,0.0,0.0,mixtral_0.80_all
Datatype,0,0,9,0.0,0.0,0.0,mixtral_0.80_all
Entity Class,3,0,28,1.0,0.0967741935483871,0.1764705882352941,mixtral_0.80_all
Function Name,0,0,2,0.0,0.0,0.0,mixtral_0.80_all
Function Output,0,0,3,0.0,0.0,0.0,mixtral_0.80_all
Join Condition,0,0,3,0.0,0.0,0.0,mixtral_0.80_all
Ontology Property,0,0,31,0.0,0.0,0.0,mixtral_0.80_all
Rel. Entity Class,0,0,17,0.0,0.0,0.0,mixtral_0.80_all
Subject Generation,0,0,25,0.0,0.0,0.0,mixtral_0.80_all
CSV Column,26,0,11,1.0,0.7027027027027027,0.8253968253968255,gemini_0.80_all
Datatype,4,0,27,1.0,0.1290322580645161,0.2285714285714286,gemini_0.80_all
Entity Class,9,0,53,1.0,0.1451612903225806,0.2535211267605634,gemini_0.80_all
Function Name,0,0,2,0.0,0.0,0.0,gemini_0.80_all
Function Output,0,0,3,0.0,0.0,0.0,gemini_0.80_all
Join Condition,0,0,15,0.0,0.0,0.0,gemini_0.80_all
Ontology Property,11,0,51,1.0,0.1774193548387097,0.3013698630136986,gemini_0.80_all
Rel. Entity Class,2,0,11,1.0,0.1538461538461538,0.2666666666666667,gemini_0.80_all
Subject Generation,0,0,62,0.0,0.0,0.0,gemini_0.80_all
CSV Column,7,0,37,1.0,0.1590909090909091,0.2745098039215686,o3_0.80_all
Datatype,3,0,14,1.0,0.1764705882352941,0.3,o3_0.80_all
Entity Class,10,0,61,1.0,0.1408450704225352,0.2469135802469136,o3_0.80_all
Function Name,0,0,3,0.0,0.0,0.0,o3_0.80_all
Function Output,0,0,3,0.0,0.0,0.0,o3_0.80_all
Join Condition,0,0,19,0.0,0.0,0.0,o3_0.80_all
Ontology Property,14,0,62,1.0,0.1842105263157894,0.3111111111111111,o3_0.80_all
Rel. Entity Class,2,0,19,1.0,0.0952380952380952,0.1739130434782608,o3_0.80_all
Subject Generation,0,0,50,0.0,0.0,0.0,o3_0.80_all
CSV Column,6,0,18,1.0,0.25,0.4,deepseek_0.80_all
Datatype,3,0,7,1.0,0.3,0.4615384615384615,deepseek_0.80_all
Entity Class,18,0,39,1.0,0.3157894736842105,0.4799999999999999,deepseek_0.80_all
Function Name,0,0,4,0.0,0.0,0.0,deepseek_0.80_all
Function Output,0,0,4,0.0,0.0,0.0,deepseek_0.80_all
Join Condition,0,0,13,0.0,0.0,0.0,deepseek_0.80_all
Ontology Property,18,0,39,1.0,0.3157894736842105,0.4799999999999999,deepseek_0.80_all
Rel. Entity Class,5,0,17,1.0,0.2272727272727272,0.3703703703703703,deepseek_0.80_all
Subject Generation,0,0,57,0.0,0.0,0.0,deepseek_0.80_all
CSV Column,11,0,3,1.0,0.7857142857142857,0.88,gpt4o_0.80_all
Datatype,1,0,13,1.0,0.0714285714285714,0.1333333333333333,gpt4o_0.80_all
Entity Class,3,0,28,1.0,0.0967741935483871,0.1764705882352941,gpt4o_0.80_all
Function Name,0,0,2,0.0,0.0,0.0,gpt4o_0.80_all
Function Output,0,0,2,0.0,0.0,0.0,gpt4o_0.80_all
Join Condition,0,0,9,0.0,0.0,0.0,gpt4o_0.80_all
Ontology Property,0,0,31,0.0,0.0,0.0,gpt4o_0.80_all
Rel. Entity Class,0,0,8,0.0,0.0,0.0,gpt4o_0.80_all
Subject Generation,0,0,31,0.0,0.0,0.0,gpt4o_0.80_all
CSV Column,3,0,38,1.0,0.073170731707317,0.1363636363636363,llama_0.80_all
Datatype,0,0,41,0.0,0.0,0.0,llama_0.80_all
Entity Class,8,0,60,1.0,0.1176470588235294,0.2105263157894736,llama_0.80_all
Function Name,0,0,4,0.0,0.0,0.0,llama_0.80_all
Function Output,0,0,6,0.0,0.0,0.0,llama_0.80_all
Join Condition,0,0,12,0.0,0.0,0.0,llama_0.80_all
Ontology Property,15,0,53,1.0,0.2205882352941176,0.36144578313253,llama_0.80_all
Rel. Entity Class,0,0,22,0.0,0.0,0.0,llama_0.80_all
Subject Generation,0,0,68,0.0,0.0,0.0,llama_0.80_all
